Course Catalogue Number,Department Name,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy,key
HUNF 1343,Human Nutrition & Food (HUNF), Nutrition and Wellness,"
Introduction to human nutrition and food. Study of human nutritional needs and problems encountered in providing food for the satisfaction of physiological and socio-cultural sytem needs, and the significance of these interrelationships to health.  Discussion of current nutritionsl issues.
",,,,2019-2020,,,,"['food', ' nutri']"
HUNF 2533,Human Nutrition & Food (HUNF), Intermediate Nutrition,"
Study of the principles of nutrition and the application of these principles to providing adequate nutrition to humans. Introduction to the biochemical and physiological approach to nutrition will be emphasized.Prerequisites: HUSC 1343.
",,,,2019-2020,,,,[' nutri']
HUNF 2633,Human Nutrition & Food (HUNF), Food Service Systems,"
Study of the layout and design, equipment selection, and specifications of Food Service organizations, with emphasis on safety, sanitation, labor and financial control and consumer distribuition.
",,,,2019-2020,,,,['food']
HUNF 2653,Human Nutrition & Food (HUNF), Food Principles and Meal Management,"
Principles of preparation, organization, and management applied to planning, preparation, serving, and marketing nutritious meals to individuals and groups at varied socioeconomic levels. Management of work areas, organization techniques, and standards for meal service and table appointments.Prerequisites: HUSC 1343.
",,,,2019-2020,,,,"['food', ' meal', ' nutri']"
HUNF 2663,Human Nutrition & Food (HUNF), Food Systems Management,"
Management principles, process and control strategies, roles and responsibilities in food service systems. Application of food preparation and management principles to quantity food production including menu planning, procurement, storage and distribution.
",,,,2019-2020,,,,"['food', ' menu']"
HUNF 3603,Human Nutrition & Food (HUNF), Nutritional Biochemistry,"
A study of the biochemical basis of nutrition, the physiochemical properties of nutrients, and other essential biochemical and their roles in physiological and metabolic processes.Prerequisites: HUNF 2533.
",,,,2019-2020,,,,"[' metaboli', ' nutri']"
HUNF 3613,Human Nutrition & Food (HUNF), Nutrition Throughout the Lifecycle,"
Comparative assessment evaluation of nutrition and dietary requirements throughout the lifecycle.  Pre-pregnancy, pregnancy, lactation, infancy, childhood, adolescence. adulthood, and aging. Nutritional needs on the basis of both physical growth and psychological development are emphasized.Prerequisites: HUSC 1343.
",,,,2019-2020,,,,"[' diet', ' lactat', ' nutri']"
HUNF 3623,Human Nutrition & Food (HUNF), Food Science and Technology,"
Principles and techniques of food processing and preservation and their effects on nutrient retention. Food and drug regulations, food additives and standards of identity.Prerequisites: CHEM 2033 (may be taken concurrently) and CHEM 2032 and HUNF 2653.
",,,,2019-2020,,,,"[' additives ', 'food', ' nutri']"
HUNF 3633,Human Nutrition & Food (HUNF), Advanced Nutrition,"
A review of the fundamentals of human nutrition.  Course provides a comprehensive study of the structure and functions of carbohydrates, fats, proteins, vitamins and minerals in metabolism, and how these nutrients are used in the prevention of diseases.Prerequisites: CHEM 4003 and HUNF 2533.
",,,,2019-2020,,,,"[' carbohydrate', ' metaboli', ' nutri', ' protein', ' vitamin']"
HUNF 3643,Human Nutrition & Food (HUNF), Food and Culture,"
Food and Culture explores the connections between what we eat and who we are through a cross-cultural study of how personal and social identities are formed via food production, preparation, and consumption.Prerequisites: HUNF 1313.
",,,,2019-2020,,,,"[' eat ', 'food']"
HUNF 3653,Human Nutrition & Food (HUNF), Nutrition and Disease,"
Study of the physiological and metabolic anomalies in chronic and acute diseases, and principles of nutritional therapy and prevention. Computer assisted nutritional assessment and diet calculations.Prerequisites: HUNF 2533.
",,,,2019-2020,,,,"[' diet', ' metaboli', ' nutri']"
HUNF 3673,Human Nutrition & Food (HUNF), Nutritional Assessment,"
The course provides an in-depth to the purpose, concepts, methods, and scientific basis for assessment of nutritional status for individuals and groups. Students will have the opportunity to apply nutritional assessment principles and methods discussed in class in a supervised setting.Prerequisites: HUNF 2533 and MATH 1113.
",,,,2019-2020,,,,[' nutri']
HUNF 4303,Human Nutrition & Food (HUNF), Human Nutrition and Food Practicum,"
Planned observation and entry-level work experience in selected clinical, hospital, business, industrial, educational or governmental settings in Nutrition, Food Science, Foods, Dietetics or Nutrition Research.  Required field experience includes a minimum of 200 clock hours of supervised work activities.
",,,,2019-2020,,,,"[' diet', 'food', ' nutri']"
HUNF 4413,Human Nutrition & Food (HUNF), Special Topics in Nutrition,"
Study of a problem affecting some aspect of human nutrition, food, or the food industry.  Reports, discussion and major project are required.  Repeatable for up to 6 semester credit hours.Prerequisites: HUNF 3653 and HUNF 4663.
",,,,2019-2020,,,,"['food', ' nutri']"
HUNF 4473,Human Nutrition & Food (HUNF), Nutrition Counseling,"
This course is a directed study in theories, behavior change models, nutrition counseling, ADA Scope of Dietetics Practice Framework, the Standards of Professional Performance, the Code of Ethics of Dietetics, interdisciplinary relationships, and current issues in Human Nutrition.Prerequisites: HUNF 3653 and HUNF 4663.
",,,,2019-2020,,,,"[' diet', ' nutri']"
HUNF 4603,Human Nutrition & Food (HUNF), Physiochemical Aspects of Food,"
This course covers physical and chemical factors accounting for color, flavor, and texture of natural and processed foods. Laboratory experiments to illustrate the effects of varying ingredients and treatment on the quality of food products. Objective and Sensory testing to determine food quality characteristics will be conducted.Prerequisites: HUNF 3623.
",,,,2019-2020,,,,"[' flavor', 'food']"
HUNF 4613,Human Nutrition & Food (HUNF), Research in Nutrition,"
Investigate special topics in nutrition. Research methodology and computer application including statistical analysis. Proposals prepared by students and presented to instructor for approval. Students work independently, seeking guidance as necessary.Prerequisites: MATH 2003.
",,,,2019-2020,,,,[' nutri']
HUNF 4663,Human Nutrition & Food (HUNF), Medical Nutrition Therapy I,"
Focus will be on Nutrition Care Process in Nutritional Screening Assessment, and Diagnosis of Metabolic, Cardiovascular and infectious disease states.  Emphasis will be on medical terminology, clinical, anthropometric and nutritional data analysis, documentation, and provision of care.Prerequisites: HUNF 3613 and HUNF 3653.
",,,,2019-2020,,,,"[' metaboli', ' nutri']"
HUNF 4673,Human Nutrition & Food (HUNF), Medical Nutrition Therapy II,"
Focus will be on Nutrition Care Process (NCP) in the treatment of metabolic, cardiovascular and infectious disease states.Prerequisites: HUNF 4663.
",,,,2019-2020,,,,"[' metaboli', ' nutri']"
HUNF 4693,Human Nutrition & Food (HUNF), Community Nutrition and Health,"
Study of human nutrition and health problems from a community perspective; programs and policies related to nutrition at local, state and federal levels; approaches and techniques of effective application and dissemination of nutrition knowledge in communities.Prerequisites: HUSC 1343 and HUNF 3613.
",,,,2019-2020,,,,[' nutri']
HUSC 1303,Human Science (HUSC), Elementary Textiles,"
A study of fibers, yams, fabric structure, dyes and finishes of fabrics. Analysis of fiber finish developments; properties of textile use with emphasis on aesthetic quality, mechanical properties, factors of degradation, laundering and cleaning. Review of recent textile trends.
",,,,2019-2020,,,,"[' fiber', ' yam']"
